"id","user_id","track_id","name","artists","album_name","album_image","spotify_url"
18,1,"0O0bttAxJKKWqAqY2Nq4mC",Falling In Love,Cigarettes After Sex,Cry,https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf,https://open.spotify.com/track/0O0bttAxJKKWqAqY2Nq4mC
19,1,"2KhrPRV0V1FS2l4eQMJUWt",Sweet,Cigarettes After Sex,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b273dfed999f959177dfc4f33cdc,https://open.spotify.com/track/2KhrPRV0V1FS2l4eQMJUWt
20,1,"3W7KHojYGgYaoX9ogKO9hU",Nothing's Gonna Hurt You Baby,Cigarettes After Sex,I.,https://i.scdn.co/image/ab67616d0000b273f20d15ff288e94492f7097eb,https://open.spotify.com/track/3W7KHojYGgYaoX9ogKO9hU
21,1,"5w9upngVRHNjdZcRC7Xxr2",Delilah (pull me out of this),"Fred again.., Delilah Montagu",Actual Life 3 (January 1 - September 9 2022),https://i.scdn.co/image/ab67616d0000b2737622b889949b07f15c6b57e2,https://open.spotify.com/track/5w9upngVRHNjdZcRC7Xxr2
22,1,"2xGjfbXZnI8uQDhukoQURQ",K.,Cigarettes After Sex,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b273dfed999f959177dfc4f33cdc,https://open.spotify.com/track/2xGjfbXZnI8uQDhukoQURQ
23,1,"1BLOVHYYlH4JUHQGcpt75R",Ode To The Mets,The Strokes,The New Abnormal,https://i.scdn.co/image/ab67616d0000b273bfa99afb5ef0d26d5064b23b,https://open.spotify.com/track/1BLOVHYYlH4JUHQGcpt75R
24,1,"5ZP8LfM7TezqoxF9yp6VzX",Stop Waiting,Cigarettes After Sex,Bubblegum,https://i.scdn.co/image/ab67616d0000b273f00e7eae8e4ed688e17fc118,https://open.spotify.com/track/5ZP8LfM7TezqoxF9yp6VzX
25,1,"5TTGoX70AFrTvuEtqHK37S",No. 1 Party Anthem,Arctic Monkeys,AM,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,https://open.spotify.com/track/5TTGoX70AFrTvuEtqHK37S
26,1,"2LMkwUfqC6S6s6qDVlEuzV",White Ferrari,Frank Ocean,Blonde,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,https://open.spotify.com/track/2LMkwUfqC6S6s6qDVlEuzV
27,1,"5HNCy40Ni5BZJFw1TKzRsC",Comfortably Numb,Pink Floyd,The Wall,https://i.scdn.co/image/ab67616d0000b2735d48e2f56d691f9a4e4b0bdf,https://open.spotify.com/track/5HNCy40Ni5BZJFw1TKzRsC
